2024-07-08 21:39:39,202 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 21:41:23,670 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 21:43:09,303 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 21:45:32,628 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 21:51:21,128 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 21:59:09,015 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 22:09:23,043 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 22:11:08,805 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 22:14:47,607 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 22:19:37,493 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 22:23:11,264 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 22:40:37,272 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 22:41:20,404 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 22:41:55,345 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 22:42:09,015 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 22:44:39,783 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 22:44:50,101 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 22:46:37,138 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 23:41:07,638 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 23:41:29,335 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 23:46:43,005 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 23:48:27,478 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 23:53:45,494 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-08 23:58:00,389 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-09 00:00:25,150 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-09 00:05:05,583 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-09 00:08:01,441 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
2024-07-09 00:11:47,241 - utils - DEBUG - Транзакции, считанные из файла fake_path.xlsx: [{'date': '2024-07-08', 'amount': 100, 'category': 'food'}, {'date': '2024-07-09', 'amount': 150, 'category': 'transport'}]
